method,attack,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,flow_deviation_cost,downstream_overload_risk
B4_WORLD_MODEL_NO_TRUST,P101_FORCED_OFF_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.2795068931747,0.0,0.0,6.848678431428807,47.07202745429952,155.40000000000003,0.0,0.0,0.8313333333333335,0.0,0.0,,1.904245106034739,4.258021502914971,47.07202745429951,0.0
B5_FULL,P101_FORCED_OFF_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,6.509074902000165,47.411630983728166,155.00000000000006,0.0,0.0,0.9033333333333333,0.9047336670517264,0.4416666666666667,0.563524854704365,1.904245106034739,4.258021502914971,47.41163098372815,0.0
B5_NO_ROOT_CAUSE,P101_FORCED_OFF_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,11.233480392860066,42.687225492868265,96.0,0.0,1.0,0.9966666666666667,1.0,0.9791666666666666,0.9894736842105264,1.904245106034739,4.258021502914971,42.68722549286825,0.0
B5_NO_SHIELD,P101_FORCED_OFF_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,6.509074902000165,47.411630983728166,155.00000000000006,0.0,0.0,0.9033333333333333,0.9047336670517264,0.4416666666666667,0.563524854704365,1.904245106034739,4.258021502914971,47.41163098372815,0.0
B5_NO_TRUST,P101_FORCED_OFF_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.2795068931747,0.0,0.0,6.848678431428807,47.07202745429952,155.40000000000003,0.0,0.0,0.8313333333333335,0.0,0.0,,1.904245106034739,4.258021502914971,47.07202745429951,0.0
B5_NO_WORLD_MODEL,P101_FORCED_OFF_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,13.583480392860068,40.337225492868264,98.62000000000002,0.0,1.0,0.9963333333333333,0.9978947368421054,0.9791666666666666,0.9884375861118766,1.904245106034739,4.258021502914971,40.33722549286825,0.0
B5_PROPOSED,P101_FORCED_OFF_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,6.509074902000165,47.411630983728166,155.00000000000006,0.0,0.0,0.9033333333333333,0.9047336670517264,0.4416666666666667,0.563524854704365,1.904245106034739,4.258021502914971,47.41163098372815,0.0
B1_FULL_SHUTDOWN,P102_FORCED_OFF_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,11.233480392860066,42.687225492868265,238.5,0.0,1.0,0.8400000000000001,,0.0,,1.904245106034739,4.258021502914971,42.68722549286825,0.0
B2_RULE_BASED_FALLBACK,P102_FORCED_OFF_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,96.0,0.0,1.0,0.8400000000000001,,0.0,,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
B3_ANOMALY_PRIORITY_RECOVERY,P102_FORCED_OFF_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,73.58,0.0,1.0,0.8400000000000001,,0.0,,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
