method,attack,seed,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,evaluation_type,flow_deviation_cost,downstream_overload_risk
B5_FULL,LIT101_REPLAY_HIGH_LEVEL,0,96,96,96,96,0,96,96,716.3334443527908,0.0,0,6.399339215714404,47.521366670013926,155.70000000000005,0,0,0.8400000000000001,,0.0,,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,47.52136667001391,0
B5_FULL,LIT101_REPLAY_HIGH_LEVEL,1,96,96,96,96,0,96,96,716.3225948576917,0.0,0,25.16828235429133,28.752423531437003,132.20000000000005,0,0,0.915,1.0,0.4791666666666667,0.647887323943662,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,28.75242353143699,0
B5_FULL,LIT101_REPLAY_HIGH_LEVEL,2,96,96,96,96,0,96,96,716.2965723360065,0.0,0,15.983480392860068,37.937225492868265,143.70000000000005,0,0,0.8800000000000001,1.0,0.25,0.4,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,37.93722549286825,0
B5_FULL,LIT101_REPLAY_HIGH_LEVEL,3,96,96,96,96,0,96,96,716.3256630196607,0.0,0,6.399339215714404,47.521366670013926,155.70000000000005,0,0,0.8400000000000001,,0.0,,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,47.52136667001391,0
B5_FULL,LIT101_REPLAY_HIGH_LEVEL,4,96,96,96,96,0,96,96,716.3692598997239,0.0,0,28.76233529572095,25.158370590007383,127.70000000000003,0,0,0.93,1.0,0.5729166666666666,0.728476821192053,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,25.15837059000737,0
B5_FULL,MV101_STUCK_OPEN_HIGH_LEVEL,0,96,96,96,96,0,96,96,716.3334443527908,0.0,0,48.637225492868254,5.283480392860078,221.5,0,0,0.985,0.9306930693069307,0.9791666666666666,0.9543147208121827,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,5.2834803928600635,0
B5_FULL,MV101_STUCK_OPEN_HIGH_LEVEL,1,96,96,96,96,0,96,96,716.3225948576917,0.0,0,49.03656470858266,4.884141177145672,221.0,0,0,0.9916666666666668,0.9791666666666666,0.9791666666666666,0.9791666666666666,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,4.884141177145658,0
B5_FULL,MV101_STUCK_OPEN_HIGH_LEVEL,2,96,96,96,96,0,96,96,716.2965723360065,0.0,0,48.637225492868254,5.283480392860078,221.5,0,0,0.985,0.9306930693069307,0.9791666666666666,0.9543147208121827,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,5.2834803928600635,0
B5_FULL,MV101_STUCK_OPEN_HIGH_LEVEL,3,96,96,96,96,0,96,96,716.3256630196607,0.0,0,48.637225492868254,5.283480392860078,221.5,0,0,0.9933333333333334,0.9791666666666666,0.9791666666666666,0.9791666666666666,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,5.2834803928600635,0
B5_FULL,MV101_STUCK_OPEN_HIGH_LEVEL,4,96,96,96,96,0,96,96,716.3692598997239,0.0,0,49.03656470858266,4.884141177145672,221.0,0,0,0.9716666666666667,0.8703703703703703,0.9791666666666666,0.9215686274509804,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,4.884141177145658,0
B5_FULL,MV101_STUCK_OPEN_P102_UNAVAILABLE,0,96,96,96,96,0,96,96,716.3334443527908,0.0,0,48.637225492868254,5.283480392860078,221.5,0,0,0.825,0.9306930693069307,0.4895833333333333,0.6416382252559727,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,5.2834803928600635,0
B5_FULL,MV101_STUCK_OPEN_P102_UNAVAILABLE,1,96,96,96,96,0,96,96,716.3225948576917,0.0,0,49.03656470858266,4.884141177145672,221.0,0,0,0.8316666666666667,0.9791666666666666,0.4895833333333333,0.6527777777777778,1.904245106034739,4.258021502914971,real_calibrated_simulation_stress,4.884141177145658,0
